DateTime,EventId,EventType,RecordId,SessionTag
2025-10-24 10:01:37,7001,User logon notification,96287,logon
2025-10-24 10:04:37,1074,System shutdown/restart initiated,96347,logoff
2025-10-24 10:04:38,7002,User logoff notification,96368,logoff
2025-10-24 10:04:38,1074,System shutdown/restart initiated,96367,logoff
2025-10-24 11:13:26,7001,User logon notification,96393,logon
2025-10-24 14:18:37,1074,System shutdown/restart initiated,96525,logoff
2025-10-24 14:18:39,7002,User logoff notification,96546,logoff
2025-10-24 14:58:10,7001,User logon notification,96565,logon
2025-10-24 22:49:13,1074,System shutdown/restart initiated,96707,logoff
2025-10-24 22:49:15,7002,User logoff notification,96728,logoff
2025-10-25 10:26:19,7001,User logon notification,96760,logon
2025-10-25 19:41:42,1074,System shutdown/restart initiated,96930,logoff
2025-10-25 19:41:43,7002,User logoff notification,96951,logoff
2025-10-26 08:30:15,7001,User logon notification,96982,logon
2025-10-26 14:08:57,1074,System shutdown/restart initiated,97130,logoff
2025-10-26 14:08:58,7002,User logoff notification,97152,logoff
2025-10-27 19:57:27,6005,System startup (Event Log service started),97164,logon
2025-10-27 19:57:36,7001,User logon notification,97327,logon
2025-10-27 22:53:25,1074,System shutdown/restart initiated,97461,logoff
2025-10-27 22:53:27,7002,User logoff notification,97483,logoff
2025-10-27 22:53:27,1074,System shutdown/restart initiated,97482,logoff
2025-10-28 07:33:44,7001,User logon notification,97503,logon
2025-10-28 19:08:13,41,System rebooted without cleanly shutting down,97656,logoff
2025-10-28 19:08:22,6005,System startup (Event Log service started),97641,logon
